date,week,coral_ID,treatment_temp,ambient_temp,Fo_1,Fm_1,Fv/Fm_1,Fo_2,Fm_2,Fv/Fm_2,Fo_3,Fm_3,Fv/Fm_3,,,,,,,,,,,,
6/23/22,1,NCH,22,18,284,656,0.567,273,705,0.612,297,713,0.583,,,,,,,,,,,,
6/23/22,1,RIL,22,18,84,94,0.106,67,79,0.151,202,213,0.051,,,,,,,,,,,,
6/23/22,1,NCN,22,18,158,415,0.619,168,504,0.666,194,604,0.678,,,,,,,,,,,,
6/23/22,1,RIH,22,18,212,326,0.349,213,502,0.575,192,336,0.428,,,,,,,,,,,,
6/23/22,1,NCE,18,18,210,484,0.566,195,451,0.567,141,320,0.559,,,,,,,,,,,,
6/23/22,1,RID,18,18,217,288,0.246,166,237,0.299,196,350,0.44,,,,,,,,,,,,
6/23/22,1,RIB,18,18,192,254,0.244,144,209,0.311,157,251,0.374,,,,,,,,,,,,
6/23/22,1,RIA,18,18,198,273,0.274,70,92,0.239,103,164,0.371,,,,,,,,,,,,
6/23/22,1,RIF,18,18,140,201,0.303,292,406,0.28,110,165,0.333,,,,,,,,,,,,
6/23/22,1,NCG,18,18,238,522,0.544,218,619,0.647,242,655,0.63,,,,,,,,,,,,
6/23/22,1,MAF,18,18,131,162,0.191,125,214,0.415,122,148,0.175,,,,,,,,,,,,
6/23/22,1,MAE,18,18,125,223,0.439,141,307,0.54,114,191,0.403,,,,,,,,,,,,
6/23/22,1,RIE,18,18,148,181,0.182,188,226,0.168,195,266,0.266,,,,,,,,,,,,
6/23/22,1,MAD,18,18,121,188,0.356,120,246,0.512,79,133,0.406,,,,,,,,,,,,
6/23/22,1,NCD,18,18,195,503,0.612,247,656,0.623,228,603,0.621,,,,,,,,,,,,
6/23/22,1,NCF,18,18,272,580,0.531,183,461,0.603,242,599,0.595,,,,,,,,,,,,
6/24/22,1,MAA,18,18,299,388,0.229,291,499,0.416,104,176,0.409,,,,,,,,,,,,
6/24/22,1,MAG,18,18,186,276,0.326,222,344,0.354,191,413,0.537,,,,,,,,,,,,
6/24/22,1,MAB,18,18,154,221,0.303,162,281,0.423,171,261,0.344,,,,,,,,,,,,
