date,position,par,treatment,,,,,,,
7/1/22,c4_r3,162,18_32,,,,,,,
7/5/22,c4_r3,160,18_32,,,,,,,
7/10/22,c4_r3,178,18_32,,,,,,,
7/18/22,c4_r3,170,18_32,,,,,,,
7/25/22,c4_r3,165,18_32,,,,,,,
7/28/22,c4_r3,189,18_32,,,,,,,
8/1/22,c4_r3,200,18_32,,,,,,,
8/5/22,c4_r3,195,18_32,,,,,,,
6/28/22,c4_r4,125,18_32,,,,,,,
7/1/22,c4_r4,85,18_32,,,,,,,
7/5/22,c4_r4,147,18_32,,,,,,,
7/10/22,c4_r4,76,18_32,,,,,,,
7/18/22,c4_r4,130,18_32,,,,,,,
7/25/22,c4_r4,98,18_32,,,,,,,
7/28/22,c4_r4,148,18_32,,,,,,,
8/1/22,c4_r4,110,18_32,,,,,,,
8/5/22,c4_r4,106,18_32,,,,,,,
6/28/22,c5_r1,121,22_28,,,,,,,
7/1/22,c5_r1,134,22_28,,,,,,,
7/5/22,c5_r1,109,22_28,,,,,,,
7/10/22,c5_r1,119,22_28,,,,,,,
7/18/22,c5_r1,125,22_28,,,,,,,
7/25/22,c5_r1,137,22_28,,,,,,,
7/28/22,c5_r1,125,22_28,,,,,,,
8/1/22,c5_r1,118,22_28,,,,,,,
8/5/22,c5_r1,109,22_28,,,,,,,
6/28/22,c5_r2,139,22_28,,,,,,,
7/1/22,c5_r2,174,22_28,,,,,,,
7/5/22,c5_r2,125,22_28,,,,,,,
7/10/22,c5_r2,166,22_28,,,,,,,
7/18/22,c5_r2,172,22_28,,,,,,,
7/25/22,c5_r2,136,22_28,,,,,,,
7/28/22,c5_r2,134,22_28,,,,,,,
8/1/22,c5_r2,155,22_28,,,,,,,
8/5/22,c5_r2,130,22_28,,,,,,,
6/28/22,c5_r3,134,22_28,,,,,,,
7/1/22,c5_r3,103,22_28,,,,,,,
7/5/22,c5_r3,118,22_28,,,,,,,
7/10/22,c5_r3,120,22_28,,,,,,,
7/18/22,c5_r3,115,22_28,,,,,,,
7/25/22,c5_r3,117,22_28,,,,,,,
7/28/22,c5_r3,108,22_28,,,,,,,
8/1/22,c5_r3,127,22_28,,,,,,,
8/5/22,c5_r3,122,22_28,,,,,,,
6/28/22,c5_r4,106,22_28,,,,,,,
7/1/22,c5_r4,120,22_28,,,,,,,
7/5/22,c5_r4,84,22_28,,,,,,,
7/10/22,c5_r4,110,22_28,,,,,,,
7/18/22,c5_r4,127,22_28,,,,,,,
7/25/22,c5_r4,90,22_28,,,,,,,
7/28/22,c5_r4,99,22_28,,,,,,,
8/1/22,c5_r4,103,22_28,,,,,,,
8/5/22,c5_r4,115,22_28,,,,,,,
6/28/22,c6_r1,133,22_28,,,,,,,
7/1/22,c6_r1,141,22_28,,,,,,,
7/5/22,c6_r1,108,22_28,,,,,,,
7/10/22,c6_r1,142,22_28,,,,,,,
7/18/22,c6_r1,130,22_28,,,,,,,
7/25/22,c6_r1,139,22_28,,,,,,,
7/28/22,c6_r1,137,22_28,,,,,,,
8/1/22,c6_r1,148,22_28,,,,,,,
8/5/22,c6_r1,159,22_28,,,,,,,
6/28/22,c6_r2,172,22_28,,,,,,,
7/1/22,c6_r2,164,22_28,,,,,,,
7/5/22,c6_r2,137,22_28,,,,,,,
7/10/22,c6_r2,156,22_28,,,,,,,
7/18/22,c6_r2,143,22_28,,,,,,,
7/25/22,c6_r2,170,22_28,,,,,,,
7/28/22,c6_r2,155,22_28,,,,,,,
8/1/22,c6_r2,138,22_28,,,,,,,
8/5/22,c6_r2,149,22_28,,,,,,,
6/28/22,c6_r3,149,22_28,,,,,,,
7/1/22,c6_r3,154,22_28,,,,,,,
7/5/22,c6_r3,135,22_28,,,,,,,
7/10/22,c6_r3,140,22_28,,,,,,,
7/18/22,c6_r3,147,22_28,,,,,,,
7/25/22,c6_r3,148,22_28,,,,,,,
7/28/22,c6_r3,139,22_28,,,,,,,
8/1/22,c6_r3,152,22_28,,,,,,,
8/5/22,c6_r3,140,22_28,,,,,,,
6/28/22,c6_r4,100,22_28,,,,,,,
7/1/22,c6_r4,112,22_28,,,,,,,
7/5/22,c6_r4,108,22_28,,,,,,,
7/10/22,c6_r4,115,22_28,,,,,,,
7/18/22,c6_r4,118,22_28,,,,,,,
7/25/22,c6_r4,108,22_28,,,,,,,
7/28/22,c6_r4,103,22_28,,,,,,,
8/1/22,c6_r4,107,22_28,,,,,,,
8/5/22,c6_r4,116,22_28,,,,,,,
6/28/22,c7_r1,115,22_28,,,,,,,
7/1/22,c7_r1,116,22_28,,,,,,,
7/5/22,c7_r1,117,22_28,,,,,,,
7/10/22,c7_r1,118,22_28,,,,,,,
7/18/22,c7_r1,120,22_28,,,,,,,
7/25/22,c7_r1,110,22_28,,,,,,,
7/28/22,c7_r1,115,22_28,,,,,,,
8/1/22,c7_r1,118,22_28,,,,,,,
8/5/22,c7_r1,109,22_28,,,,,,,
6/28/22,c7_r2,165,22_28,,,,,,,
7/1/22,c7_r2,137,22_28,,,,,,,
7/5/22,c7_r2,136,22_28,,,,,,,
7/10/22,c7_r2,145,22_28,,,,,,,
7/18/22,c7_r2,137,22_28,,,,,,,
7/25/22,c7_r2,133,22_28,,,,,,,
7/28/22,c7_r2,138,22_28,,,,,,,
8/1/22,c7_r2,150,22_28,,,,,,,
8/5/22,c7_r2,151,22_28,,,,,,,
6/28/22,c7_r3,128,22_28,,,,,,,
7/1/22,c7_r3,138,22_28,,,,,,,
7/5/22,c7_r3,116,22_28,,,,,,,
7/10/22,c7_r3,125,22_28,,,,,,,
7/18/22,c7_r3,128,22_28,,,,,,,
7/25/22,c7_r3,130,22_28,,,,,,,
7/28/22,c7_r3,116,22_28,,,,,,,
8/1/22,c7_r3,118,22_28,,,,,,,
8/5/22,c7_r3,150,22_28,,,,,,,
6/28/22,c7_r4,113,22_28,,,,,,,
7/1/22,c7_r4,110,22_28,,,,,,,
7/5/22,c7_r4,95,22_28,,,,,,,
7/10/22,c7_r4,108,22_28,,,,,,,
7/18/22,c7_r4,107,22_28,,,,,,,
7/25/22,c7_r4,105,22_28,,,,,,,
7/28/22,c7_r4,116,22_28,,,,,,,
8/1/22,c7_r4,118,22_28,,,,,,,
8/5/22,c7_r4,108,22_28,,,,,,,
6/28/22,c8_r1,117,22_28,,,,,,,
7/1/22,c8_r1,129,22_28,,,,,,,
7/5/22,c8_r1,109,22_28,,,,,,,
7/10/22,c8_r1,123,22_28,,,,,,,
7/18/22,c8_r1,127,22_28,,,,,,,
7/25/22,c8_r1,125,22_28,,,,,,,
7/28/22,c8_r1,107,22_28,,,,,,,
8/1/22,c8_r1,118,22_28,,,,,,,
8/5/22,c8_r1,114,22_28,,,,,,,
6/28/22,c8_r2,134,22_28,,,,,,,
7/1/22,c8_r2,117,22_28,,,,,,,
7/5/22,c8_r2,129,22_28,,,,,,,
7/10/22,c8_r2,115,22_28,,,,,,,
7/18/22,c8_r2,136,22_28,,,,,,,
7/25/22,c8_r2,127,22_28,,,,,,,
7/28/22,c8_r2,135,22_28,,,,,,,
8/1/22,c8_r2,117,22_28,,,,,,,
8/5/22,c8_r2,120,22_28,,,,,,,
6/28/22,c8_r3,132,22_28,,,,,,,
7/1/22,c8_r3,107,22_28,,,,,,,
7/5/22,c8_r3,108,22_28,,,,,,,
7/10/22,c8_r3,110,22_28,,,,,,,
7/18/22,c8_r3,115,22_28,,,,,,,
7/25/22,c8_r3,127,22_28,,,,,,,
7/28/22,c8_r3,108,22_28,,,,,,,
8/1/22,c8_r3,137,22_28,,,,,,,
8/5/22,c8_r3,122,22_28,,,,,,,
6/28/22,c8_r4,86,22_28,,,,,,,
7/1/22,c8_r4,63,22_28,,,,,,,
7/5/22,c8_r4,98,22_28,,,,,,,
7/10/22,c8_r4,65,22_28,,,,,,,
7/18/22,c8_r4,78,22_28,,,,,,,
7/25/22,c8_r4,83,22_28,,,,,,,
7/28/22,c8_r4,94,22_28,,,,,,,
8/1/22,c8_r4,65,22_28,,,,,,,
8/5/22,c8_r4,62,22_28,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
